###    First-principles Database for Compositional Optimization of Cantor Alloys   ###

#	Notes:
#		Values are presented per atom <--




--> System Information

#	Notes:
#		Molar fraction <--

     System           Cr        Mn        Fe        Co        Ni  
      Xx5            0.2       0.2       0.2       0.2       0.2  
Cr-0.05_Xx4-0.95     0.05     0.2375    0.2375    0.2375    0.2375
 Cr-0.1_Xx4-0.9      0.1      0.225     0.225     0.225     0.225 
Cr-0.15_Xx4-0.85     0.15     0.2125    0.2125    0.2125    0.2125
Cr-0.25_Xx4-0.75     0.25     0.1875    0.1875    0.1875    0.1875
 Cr-0.3_Xx4-0.7      0.3      0.175     0.175     0.175     0.175 
Mn-0.05_Xx4-0.95    0.2375     0.05     0.2375    0.2375    0.2375
 Mn-0.1_Xx4-0.9     0.225      0.1      0.225     0.225     0.225 
Mn-0.15_Xx4-0.85    0.2125     0.15     0.2125    0.2125    0.2125
Mn-0.25_Xx4-0.75    0.1875     0.25     0.1875    0.1875    0.1875
 Mn-0.3_Xx4-0.7     0.175      0.3      0.175     0.175     0.175 
Fe-0.05_Xx4-0.95    0.2375    0.2375     0.05     0.2375    0.2375
 Fe-0.1_Xx4-0.9     0.225     0.225      0.1      0.225     0.225 
Fe-0.15_Xx4-0.85    0.2125    0.2125     0.15     0.2125    0.2125
Fe-0.25_Xx4-0.75    0.1875    0.1875     0.25     0.1875    0.1875
 Fe-0.3_Xx4-0.7     0.175     0.175      0.3      0.175     0.175 
Co-0.05_Xx4-0.95    0.2375    0.2375    0.2375     0.05     0.2375
 Co-0.1_Xx4-0.9     0.225     0.225     0.225      0.1      0.225 
Co-0.15_Xx4-0.85    0.2125    0.2125    0.2125     0.15     0.2125
Co-0.25_Xx4-0.75    0.1875    0.1875    0.1875     0.25     0.1875
 Co-0.3_Xx4-0.7     0.175     0.175     0.175      0.3      0.175 
Ni-0.05_Xx4-0.95    0.2375    0.2375    0.2375    0.2375     0.05 
 Ni-0.1_Xx4-0.9     0.225     0.225     0.225     0.225      0.1  
Ni-0.15_Xx4-0.85    0.2125    0.2125    0.2125    0.2125     0.15 
Ni-0.25_Xx4-0.75    0.1875    0.1875    0.1875    0.1875     0.25 
 Ni-0.3_Xx4-0.7     0.175     0.175     0.175     0.175      0.3  


--> Equilibrium Quantities


----> Binary enthaly of mixing: H_mix^ij

#	Notes:
#		Energies in meV units <----

         Cr           Mn           Fe           Co           Ni    
Cr       0.        0.020729     -0.010364    -0.041457    -0.07255 
Mn    0.020729        0.           0.        -0.051821    -0.082914
Fe    -0.010364       0.           0.        -0.010364    -0.020729
Co    -0.041457    -0.051821    -0.010364       0.           0.    
Ni    -0.07255     -0.082914    -0.020729       0.           0.    


--> Temperature-dependent Quantities

#	Notes:
#		T: Temperature, V: Volume, rho: Solid density, G: Gibbs free en., Chi_M: Mulliken electronegativity, VEC: Valence el. con., dR: Atomic-size mismatch parameter, B:Bulk mod., S:Shear mod., Y:Young's mod.,  sigma_y: Yield str., nu_P: Poisson's ratio,  kappa_el: Electronic thermal cond., kappa_lat: Lattice thermal cond., beta: Volume thermal expansion
#		T in K,  V in 10^-30 m^3, rho in kg m^-3, G in meV, VEC: in 10^30 m^-3, dR 10^-3 dimensionless, B;S;Y in GPa , sigma_y in GPa, nu_P dimensionless, kappa_el and kappa_lat in W/m^-1 K^-1, beta: 10^-6 K^-1 units <--



----> Xx5 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
200     10.318    9020.39     -9.483     -21.888    0.775    17.439    290.568    177.932    528.879     8.669     0.246     13.301      1105.28     7.975
300     10.327    9012.85    -49.552     -21.888    0.774    17.439    292.246    177.684    528.141     8.628     0.247     15.711      751.286     8.624
400     10.336     9005.     -98.189     -21.889    0.774    17.439    295.335    177.426    527.375     8.567     0.25      17.845      572.452     8.751
500     10.345    8997.15    -153.518    -21.889    0.773    17.439    299.937    177.168    526.609     8.486     0.253     18.994      466.601     8.67 
600     10.354    8989.43    -214.342    -21.89     0.772    17.439    306.103    176.915    525.856     8.387     0.258     19.297      397.888     8.473
700     10.363    8981.94    -279.84     -21.89     0.772    17.439    313.844    176.669    525.126     8.274     0.263     19.557      350.589     8.198
800     10.371    8974.72    -349.419    -21.891    0.771    17.439    323.137    176.433    524.423     8.148     0.269     19.852      316.725     7.87 
900     10.379    8967.82    -422.629    -21.892    0.77     17.439    333.932    176.207    523.751     8.014     0.276     19.985      291.803     7.507
1000    10.386    8961.26    -499.116    -21.893    0.77     17.439    346.156    175.992    523.113     7.874     0.283     19.942      273.09      7.122

----> Co-0.05_Xx4-0.95 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.367    8896.96     17.89      -21.89     0.758    18.176    289.076    172.343    523.053     8.321     0.251     3.787       1820.75     5.682
200     10.375    8890.33    -10.813     -21.89     0.757    18.176    287.262    172.13     522.404     8.332     0.25      3.509       977.428     8.52 
300     10.384    8882.36    -51.316     -21.891    0.757    18.176    285.837    171.872    521.624     8.336     0.25      3.765       655.169     9.298
400     10.394    8873.95    -100.442    -21.891    0.756    18.176    285.205    171.601     520.8      8.327     0.249     4.776       490.697     9.61 
500     10.404    8865.36    -156.286    -21.892    0.755    18.176    285.543    171.324    519.96      8.304     0.25      5.291       392.465     9.74 
600     10.414    8856.71    -217.639    -21.892    0.755    18.176    286.972    171.046    519.115     8.265     0.251     5.735       328.12      9.761
700     10.425    8848.09    -283.673    -21.893    0.754    18.176    289.584    170.769    518.274     8.21      0.254      6.17       283.431     9.698
800     10.435    8839.57    -353.789    -21.893    0.753    18.176    293.447    170.495    517.442     8.14      0.257     6.421       251.179     9.564
900     10.444    8831.2     -427.533    -21.894    0.753    18.176    298.604    170.226    516.626     8.056     0.26      6.627       227.309     9.368
1000    10.454    8823.04    -504.549    -21.895    0.752    18.176    305.075    169.963    515.83      7.958     0.265     6.825       209.363     9.117

----> Co-0.1_Xx4-0.9 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.349    8940.92     17.978     -21.901    0.76     18.124    288.731    173.362    523.916     8.393     0.25      4.842       1752.96     5.697
200     10.357    8934.18    -10.915     -21.901    0.759    18.124    287.564    173.144    523.258     8.395     0.249     12.841      943.631     8.657
300     10.367    8926.04     -51.55     -21.901    0.758    18.124    287.266    172.881    522.464     8.382     0.249     14.062      635.16      9.423
400     10.377    8917.5     -100.789    -21.901    0.758    18.124    288.271    172.605    521.631     8.349     0.25      13.805      478.595     9.67 
500     10.387    8908.86    -156.737    -21.902    0.757    18.124    290.779    172.327    520.789     8.296     0.253     13.849      385.795     9.698
600     10.397    8900.26    -218.189    -21.903    0.756    18.124    294.912    172.05     519.951     8.222     0.256     14.205      325.604     9.59 
700     10.407    8891.82    -284.321    -21.903    0.755    18.124    300.741    171.778    519.129     8.127     0.26      14.296      284.314     9.382
800     10.416    8883.6     -354.534    -21.904    0.755    18.124    308.295    171.513    518.33      8.016     0.265     14.406      254.952     9.095
900     10.425    8875.68    -428.377    -21.905    0.754    18.124    317.56     171.258    517.56      7.892     0.271     14.436      233.593     8.746
1000    10.434    8868.09    -505.494    -21.905    0.753    18.124    328.488    171.014    516.822     7.757     0.278     14.452      217.846     8.353

----> Co-0.15_Xx4-0.85 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.332    8984.43     18.189     -21.908    0.767    18.025    289.222    174.664    525.065     8.472     0.249     14.929      1938.07     5.322
200     10.34     8978.05    -10.713     -21.908    0.766    18.025    289.11     174.457    524.443     8.46      0.249     15.382      1041.13     8.177
300     10.348    8970.34     -51.31     -21.909    0.766    18.025    290.113    174.207    523.693     8.429     0.25      13.965      704.886     8.859
400     10.358    8962.3     -100.495    -21.909    0.765    18.025    292.561    173.947    522.911     8.377     0.252     13.617      535.064     9.022
500     10.367    8954.23    -156.382    -21.91     0.764    18.025    296.603    173.686    522.126     8.305     0.255     13.06       434.643     8.97 
600     10.376    8946.27    -217.769    -21.91     0.763    18.025    302.32     173.429    521.353     8.213     0.259     12.395      369.576     8.793
700     10.385    8938.52    -283.834    -21.911    0.763    18.025    309.745    173.179    520.601     8.104     0.264     12.181      324.923     8.529
800     10.394    8931.04    -353.981    -21.911    0.762    18.025    318.867    172.937    519.875     7.981     0.27      11.767      293.096     8.202
900     10.402    8923.88    -427.759    -21.912    0.761    18.025    329.642    172.706    519.181     7.847     0.277     11.622      269.821     7.83 
1000    10.41     8917.08    -504.812    -21.913    0.761    18.025    341.994    172.487    518.521     7.708     0.284     11.235      252.494     7.43 

----> Co-0.25_Xx4-0.75 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.303    9067.62     19.282     -21.914    0.78     17.685    286.761    181.757    531.88      8.985     0.238     5.725       2174.83     5.017
200     10.31     9061.43     -9.084     -21.915    0.78     17.685    286.566    181.55     531.275     8.974     0.238     7.266       1168.92     7.924
300     10.318    9053.86    -49.031     -21.915    0.779    17.685    287.267    181.297    530.535     8.946     0.239     7.643        789.7      8.646
400     10.327    9045.92    -97.529     -21.915    0.778    17.685    289.178    181.033    529.761     8.898     0.241     8.139       597.808     8.843
500     10.337    9037.92    -152.712    -21.916    0.778    17.685    292.438    180.766    528.98      8.831     0.244     8.623       483.964     8.832
600     10.346    9029.99    -213.387    -21.916    0.777    17.685    297.127    180.502    528.207     8.744     0.247     9.427       409.858     8.701
700     10.355    9022.23    -278.735    -21.917    0.776    17.685    303.284    180.243    527.45      8.64      0.252     10.075      358.696     8.487
800     10.363    9014.7     -348.163    -21.917    0.776    17.685    310.916    179.992    526.716     8.522     0.257     10.341      321.962     8.211
900     10.372    9007.44    -421.223    -21.918    0.775    17.685     320.      179.751    526.01      8.392     0.263     10.773      294.866     7.89 
1000    10.38     9000.49    -497.565    -21.919    0.774    17.685    330.488    179.52     525.334     8.254     0.27      11.115      274.497     7.538

----> Co-0.3_Xx4-0.7 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.289    9108.26     20.183     -21.912    0.789    17.439    284.242    187.168    537.508     9.397     0.23      12.52       2572.79     4.545
200     10.296    9102.55     -7.669     -21.912    0.788    17.439    283.271    186.972    536.946      9.4      0.229     10.675      1386.33     7.339
300     10.304    9095.47    -47.025     -21.912    0.787    17.439    282.647    186.729    536.25      9.394     0.229     11.114      931.011      8.1 
400     10.312    9087.95    -94.909     -21.913    0.787    17.439    282.75     186.472    535.512     9.374     0.23      12.142      698.819     8.381
500     10.321    9080.29    -149.466    -21.913    0.786    17.439    283.738    186.21     534.759     9.339     0.231     12.56       559.935     8.48 
600     10.33     9072.58    -209.509    -21.914    0.785    17.439    285.711    185.947    534.003     9.288     0.233     13.016      468.644     8.478
700     10.338    9064.92    -274.222    -21.914    0.785    17.439    288.74     185.686    533.252     9.221     0.235     13.346      404.886     8.403
800     10.347    9057.37    -343.015    -21.915    0.784    17.439    292.872    185.428    532.511     9.138     0.239     13.459      358.491     8.27 
900     10.356    9049.96    -415.441    -21.915    0.783    17.439    298.136    185.175    531.786     9.04      0.243     13.593      323.751     8.089
1000    10.364    9042.74    -491.15     -21.916    0.783    17.439    304.541    184.929    531.079     8.93      0.247     13.754      297.208     7.866

----> Ni-0.05_Xx4-0.95 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.437    8844.84     13.987     -21.754    0.741    18.176    288.25     158.307    503.141     7.426     0.268     1.465       704.258      7.53 
200     10.447    8836.62    -16.723     -21.755    0.741    18.176    286.708    158.062    502.362     7.429     0.267     1.657       337.275     10.316
300     10.458    8827.18    -59.511     -21.755    0.74     18.176    286.796    157.78     501.468     7.41      0.268     1.871       246.928     10.921
400     10.469    8817.48    -110.985    -21.755    0.739    18.176    289.117    157.491    500.55      7.364     0.269     2.245       130.057     11.017
500     10.481    8807.82    -169.191    -21.755    0.739    18.176    293.942    157.204    499.636     7.29      0.273     2.621       114.996     10.87 
600     10.492    8798.38    -232.903    -21.756    0.738    18.176    301.403    156.923    498.744     7.189     0.278      2.95       143.26      10.558
700     10.503    8789.28    -301.286    -21.756    0.738    18.176    311.522    156.653    497.884     7.067     0.285      3.22       103.507     10.125
800     10.513    8780.61    -373.737    -21.756    0.737    18.176    324.229    156.395    497.066     6.93      0.292     3.415        75.48      9.604 
900     10.523    8772.43     -449.8     -21.757    0.736    18.176    339.382    156.152    496.294     6.784     0.301     3.598       102.161      9.03 
1000    10.532    8764.77    -529.114    -21.757    0.736    18.176    356.79     155.925    495.572     6.634     0.309     3.679       62.272      8.432 

----> Ni-0.1_Xx4-0.9 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.386    8914.55     16.129     -21.825    0.743    18.124    288.691    168.62     517.493     8.082     0.256     8.529       1591.45     6.362 
200     10.394    8907.32    -13.741     -21.825    0.742    18.124    286.732    168.392    516.794     8.094     0.254     5.007       863.938     9.164 
300     10.404    8898.76    -55.534     -21.825    0.741    18.124    285.317    168.123    515.967     8.096     0.254     5.341       580.028     9.921 
400     10.415    8889.79    -105.989    -21.825    0.74     18.124    284.853    167.841     515.1      8.084     0.254     6.064       434.572     10.218
500     10.425    8880.65    -163.178    -21.826    0.739    18.124    285.534    167.553    514.218     8.056     0.255     6.495       347.701     10.327
600     10.436    8871.48    -225.885    -21.826    0.739    18.124    287.493    167.265    513.333     8.01      0.256       7.        290.907     10.316
700     10.447    8862.37    -293.279    -21.827    0.738    18.124    290.832    166.979    512.455     7.947     0.259     7.452        251.6      10.211
800     10.457    8853.41    -364.758    -21.828    0.737    18.124    295.623    166.697    511.591     7.868     0.263     7.702       223.374     10.025
900     10.468    8844.64    -439.865    -21.828    0.736    18.124    301.903    166.422    510.748     7.773     0.267      7.97       202.623     9.769 
1000    10.478    8836.14    -518.242    -21.829    0.736    18.124    309.681    166.156    509.93      7.666     0.272     8.247       187.158     9.453 

----> Ni-0.15_Xx4-0.85 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.348    8973.32     17.623     -21.875    0.758    18.025    287.438    172.749    522.755     8.371     0.25      3.266       1757.56     5.708
200     10.356    8966.54    -11.573     -21.875    0.758    18.025    285.807    172.532    522.097     8.38      0.249     7.659       944.213     8.678
300     10.365    8958.34    -52.522     -21.875    0.757    18.025    284.953    172.269    521.301     8.375     0.248     8.479       633.425     9.478
400     10.375    8949.7     -102.079    -21.876    0.756    18.025    285.402    171.992    520.464     8.35      0.249     8.624       475.543     9.763
500     10.385    8940.93    -158.346    -21.876    0.755    18.025    287.391    171.711    519.614     8.303     0.251     8.796       381.943     9.827
600     10.395    8932.17    -220.119    -21.877    0.755    18.025    291.07     171.431    518.766     8.233     0.254     8.838       321.254     9.75 
700     10.406    8923.54    -286.572    -21.877    0.754    18.025    296.533    171.155    517.931     8.142     0.258     8.983       279.656     9.565
800     10.415    8915.13    -357.108    -21.878    0.753    18.025    303.825    170.886    517.117     8.032     0.263     9.137       250.12      9.291
900     10.425    8906.99    -431.272    -21.879    0.752    18.025    312.943    170.627    516.331     7.906     0.269     9.101       228.683     8.948
1000    10.434    8899.2     -508.713    -21.879    0.752    18.025    323.842    170.378    515.579     7.768     0.276     8.999       212.932     8.552

----> Ni-0.25_Xx4-0.75 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.291    9075.6      20.103     -21.938    0.785    17.685    283.784    187.369    537.99      9.419     0.229     8.663       2522.49     4.605
200     10.297    9069.82     -7.879     -21.938    0.785    17.685    282.54     187.17     537.419     9.426     0.229     7.593       1357.28     7.463
300     10.306    9062.63    -47.355     -21.938    0.784    17.685    281.601    186.923    536.709     9.425     0.228     7.959       909.021     8.26 
400     10.314    9054.99    -95.355     -21.939    0.783    17.685    281.418    186.66     535.955     9.41      0.228     8.369       680.407     8.568
500     10.323    9047.17    -150.026    -21.939    0.782    17.685    282.176    186.392    535.184     9.379     0.229     8.946       543.734     8.687
600     10.332    9039.3     -210.182    -21.94     0.782    17.685    283.992    186.121    534.408     9.329     0.231     9.385       453.99      8.699
700     10.341    9031.47    -275.007    -21.94     0.781    17.685    286.95     185.853    533.637     9.261     0.234     9.703       391.413     8.632
800     10.35     9023.73    -343.912    -21.941    0.78     17.685    291.107    185.587    532.875     9.176     0.237     10.017      345.984     8.501
900     10.359    9016.14    -416.449    -21.941    0.779    17.685    296.496    185.327    532.128     9.075     0.241     10.122      312.073     8.316
1000    10.367    9008.75    -492.269    -21.942    0.779    17.685    303.129    185.074    531.401     8.96      0.246     10.411      286.27      8.085

----> Ni-0.3_Xx4-0.7 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.273    9117.83     21.841     -21.943    0.802    17.439    283.438    195.605    546.235    10.004     0.219     10.974      3203.06     3.825
200     10.279    9112.87     -5.279     -21.943    0.801    17.439    282.758    195.428    545.74     10.004     0.219     9.349       1741.06     6.448
300     10.286    9106.61    -43.725     -21.943    0.801    17.439    282.163    195.204    545.115     9.999     0.219     9.826       1173.03     7.174
400     10.293    9099.93    -90.641     -21.943     0.8     17.439    281.847    194.966    544.449     9.988     0.219     10.476      882.02      7.453
500     10.301    9093.09    -144.207    -21.944    0.799    17.439    281.882    194.721    543.767     9.97      0.219     10.803      706.787     7.577
600     10.309    9086.18    -203.246    -21.944    0.798    17.439    282.312    194.475    543.078     9.944     0.22      11.292      590.522     7.626
700     10.317    9079.25    -266.95     -21.944    0.798    17.439    283.167    194.227    542.388     9.911     0.221     11.472      508.319     7.632
800     10.324    9072.33    -334.733    -21.945    0.797    17.439    284.475    193.981    541.699     9.87      0.222     11.561      447.574     7.604
900     10.332    9065.46    -406.152    -21.945    0.796    17.439    286.257    193.736    541.015     9.821     0.224     11.666      401.231     7.551
1000    10.34     9058.65    -480.862    -21.946    0.796    17.439    288.53     193.493    540.338     9.764     0.226     11.803      365.029     7.474
