###    First-principles Database for Compositional Optimization of Cantor Alloys   ###

#	Notes:
#		Values are presented per atom <--




--> System Information

#	Notes:
#		Molar fraction <--

             System                 Cr     Mn     Fe     Co     Ni      Nb       Mo  
              Xx5                   0.2    0.2    0.2    0.2    0.2     0.       0.  
     Cr-0.1_Nb-0.1_Xx4-0.8          0.1    0.2    0.2    0.2    0.2     0.1      0.  
Cr-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.1    0.2    0.2    0.2    0.2    0.075    0.025
 Cr-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.1    0.2    0.2    0.2    0.2    0.05     0.05 
Cr-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.1    0.2    0.2    0.2    0.2    0.025    0.075
     Cr-0.1_Mo-0.1_Xx4-0.8          0.1    0.2    0.2    0.2    0.2     0.       0.1 
     Mn-0.1_Nb-0.1_Xx4-0.8          0.2    0.1    0.2    0.2    0.2     0.1      0.  
Mn-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.1    0.2    0.2    0.2    0.075    0.025
 Mn-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.1    0.2    0.2    0.2    0.05     0.05 
Mn-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.1    0.2    0.2    0.2    0.025    0.075
     Mn-0.1_Mo-0.1_Xx4-0.8          0.2    0.1    0.2    0.2    0.2     0.       0.1 
     Fe-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.1    0.2    0.2     0.1      0.  
Fe-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.1    0.2    0.2    0.075    0.025
 Fe-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.1    0.2    0.2    0.05     0.05 
Fe-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.1    0.2    0.2    0.025    0.075
     Fe-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.1    0.2    0.2     0.       0.1 
     Co-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.2    0.1    0.2     0.1      0.  
Co-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.2    0.1    0.2    0.075    0.025
 Co-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.2    0.1    0.2    0.05     0.05 
Co-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.2    0.1    0.2    0.025    0.075
     Co-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.2    0.1    0.2     0.       0.1 
     Ni-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.2    0.2    0.1     0.1      0.  
Ni-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.2    0.2    0.1    0.075    0.025
 Ni-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.2    0.2    0.1    0.05     0.05 
Ni-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.2    0.2    0.1    0.025    0.075
     Ni-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.2    0.2    0.1     0.       0.1 


--> Equilibrium Quantities


----> Binary enthaly of mixing: H_mix^ij

#	Notes:
#		Energies in meV units <----

         Cr           Mn           Fe           Co           Ni           Nb           Mo    
Cr       0.        0.020729     -0.010364    -0.041457    -0.07255     -0.07255        0.    
Mn    0.020729        0.           0.        -0.051821    -0.082914    -0.041457    0.051821 
Fe    -0.010364       0.           0.        -0.010364    -0.020729    -0.165828    -0.020729
Co    -0.041457    -0.051821    -0.010364       0.           0.        -0.259107    -0.051821
Ni    -0.07255     -0.082914    -0.020729       0.           0.        -0.310928    -0.07255 
Nb    -0.07255     -0.041457    -0.165828    -0.259107    -0.310928       0.        -0.062186
Mo       0.        0.051821     -0.020729    -0.051821    -0.07255     -0.062186       0.    


--> Temperature-dependent Quantities

#	Notes:
#		T: Temperature, V: Volume, rho: Solid density, G: Gibbs free en., Chi_M: Mulliken electronegativity, VEC: Valence el. con., dR: Atomic-size mismatch parameter, B:Bulk mod., S:Shear mod., Y:Young's mod.,  sigma_y: Yield str., nu_P: Poisson's ratio,  kappa_el: Electronic thermal cond., kappa_lat: Lattice thermal cond., beta: Volume thermal expansion
#		T in K,  V in 10^-30 m^3, rho in kg m^-3, G in meV, VEC: in 10^30 m^-3, dR 1^-3 dimensionless, B;S;Y in GPa , sigma_y in GPa, nu_P dimensionless, kappa_el and kappa_lat in W/m^-1 K^-1, beta: 10^-6 K^-1 units <--



----> Xx5 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.755    9254.66     14.918     -22.319    0.728    24.034    308.786    209.401    592.161    10.517     0.223      3.38       2136.28     5.698
200     10.763    9247.82    -16.514     -22.319    0.727    24.034    307.06     209.144    591.432    10.529     0.222     3.586       1151.38     8.399
300     10.772    9239.67    -59.748     -22.32     0.727    24.034    305.789    208.836    590.563     10.53     0.222     3.946       772.466     9.124
400     10.782    9231.09    -111.582    -22.32     0.726    24.034    305.39     208.513    589.65     10.515     0.222     4.288       578.795     9.405
500     10.792    9222.36     -170.1     -22.321    0.725    24.034    306.046    208.185    588.72      10.48     0.223     4.384       463.061     9.511
600     10.803    9213.58    -234.091    -22.321    0.724    24.034    307.877    207.854    587.787    10.425     0.224     4.615       387.223     9.512
700     10.813    9204.85    -302.727    -22.322    0.724    24.034    310.973    207.526    586.859     10.35     0.227     4.703       334.531     9.434
800     10.823    9196.24    -375.406    -22.322    0.723    24.034    315.397    207.203    585.944    10.254     0.231     4.766       296.483     9.287
900     10.833    9187.79    -451.674    -22.323    0.722    24.034    321.186    206.886    585.047     10.14     0.235      4.76        268.3      9.082
1000    10.843    9179.56    -531.174    -22.324    0.722    24.034    328.354    206.577    584.174    10.009     0.24      4.834       247.089     8.826

----> Fe-0.1_Nb-0.025_Mo-0.075_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.726    9290.95     15.729     -22.385    0.732    24.034    310.915    210.947    596.402    10.587     0.223     1.378       2268.65     5.356
200     10.734    9284.42    -15.237     -22.386    0.732    24.034    309.082     210.7     595.703    10.602     0.222     2.256       1221.04     8.041
300     10.743    9276.56    -57.936     -22.386    0.731    24.034    307.53     210.402    594.863    10.609     0.221      2.94       818.305     8.778
400     10.753    9268.26    -109.213    -22.386    0.73     24.034    306.662    210.089    593.976    10.602     0.221     3.465       612.165     9.08 
500     10.762    9259.78    -167.163    -22.387    0.73     24.034    306.641    209.768    593.071     10.58     0.221     3.794       488.658     9.217
600     10.772    9251.22    -230.579    -22.388    0.729    24.034    307.579    209.445    592.158    10.541     0.223     4.052       407.425     9.259
700     10.782    9242.67    -298.636    -22.388    0.728    24.034    309.559    209.123    591.245    10.484     0.224     4.251       350.706     9.232
800     10.792    9234.18    -370.733    -22.389    0.728    24.034    312.648    208.803    590.34     10.409     0.227     4.483       309.49      9.145
900     10.802    9225.8     -446.416    -22.39     0.727    24.034    316.891    208.487    589.447    10.317     0.23      4.521       278.721     9.005
1000    10.812    9217.58    -525.331    -22.39     0.726    24.034    322.32     208.177    588.572    10.208     0.234     4.644       255.34      8.817

----> Fe-0.1_Mo-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.699    9326.2      16.769     -22.448    0.737    24.034    312.962    208.324    595.093    10.371     0.228      1.67       2388.66     4.979
200     10.706    9320.04    -13.436     -22.449    0.736    24.034    311.201    208.095    594.438    10.385     0.227     2.113       1285.48     7.593
300     10.715    9312.57    -55.319     -22.449    0.735    24.034    309.624    207.817    593.645    10.393     0.226     2.459       861.28      8.315
400     10.724    9304.68    -105.76     -22.449    0.735    24.034    308.644    207.523    592.806    10.389     0.225     2.857       644.011     8.616
500     10.733    9296.59    -162.866    -22.45     0.734    24.034    308.428    207.223    591.947    10.372     0.226     3.208       513.663     8.759
600     10.743    9288.42    -225.432    -22.451    0.733    24.034    309.085    206.919    591.081     10.34     0.226     3.575       427.758     8.814
700     10.752    9280.23    -292.634    -22.452    0.733    24.034     310.7     206.616    590.213    10.292     0.228     3.774       367.61      8.805
800     10.762    9272.09    -363.874    -22.452    0.732    24.034    313.339    206.314    589.35     10.227     0.23      4.059       323.741     8.741
900     10.771    9264.04     -438.7     -22.453    0.731    24.034    317.055    206.015    588.497    10.146     0.233     4.202       290.835     8.629
1000    10.78     9256.12    -516.755    -22.454    0.731    24.034    321.881    205.722    587.659    10.051     0.237     4.385       265.676     8.473

----> Co-0.1_Nb-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.867    9088.88     12.09      -22.103    0.72     24.034    301.727    166.755    531.258     7.796     0.267     0.356       424.89      7.568 
200     10.877    9080.49    -20.492     -22.104    0.719    24.034    300.878    166.498    530.441     7.79      0.266     0.821       250.773     10.133
300     10.888    9071.06    -65.106     -22.104    0.719    24.034    302.523    166.21     529.523     7.752     0.268     1.423       134.793     10.519
400      10.9     9061.55    -118.369    -22.104    0.718    24.034    307.106    165.92     528.598     7.681     0.271     1.928       90.373      10.395
500     10.911    9052.29    -178.327    -22.104    0.717    24.034    314.711    165.637    527.698     7.578     0.276     2.431        29.14      10.044
600     10.921    9043.41    -243.758    -22.105    0.717    24.034    325.278    165.367    526.836     7.451     0.283     2.735       57.108      9.558 
700     10.932    9035.02    -313.825    -22.105    0.716    24.034    338.647    165.111    526.021     7.306     0.29      3.001       44.072       8.99 
800     10.941    9027.18    -387.927    -22.105    0.715    24.034    354.592    164.872    525.26      7.152     0.299     3.242        52.65      8.381 
900     10.95     9019.89    -465.605    -22.106    0.715    24.034    372.847    164.651    524.554     6.995     0.308     3.465       28.469      7.763 
1000    10.958    9013.17    -546.502    -22.106    0.714    24.034    393.136    164.446    523.903     6.841     0.316     3.589       36.981      7.157 

----> Co-0.1_Nb-0.075_Mo-0.025_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.834    9127.75     12.348     -22.175    0.711    24.034    304.463    179.71     550.727     8.59      0.253     2.586       383.919     7.249 
200     10.844    9119.61    -20.346     -22.176    0.71     24.034    303.525    179.443    549.909     8.585     0.253     2.086       152.429     9.835 
300     10.855    9110.4     -65.032     -22.176    0.709    24.034    304.742    179.141    548.983     8.549     0.254     2.341       185.497     10.243
400     10.866    9101.09    -118.362    -22.176    0.709    24.034    308.542    178.836    548.049     8.479     0.257     2.747       108.977     10.157
500     10.877    9091.97    -178.389    -22.176    0.708    24.034    315.012    178.538    547.134     8.377     0.262     3.082       96.252      9.858 
600     10.887    9083.2     -243.891    -22.177    0.707    24.034    324.115    178.251    546.255     8.249     0.268     3.442       62.361      9.433 
700     10.897    9074.86    -314.033    -22.177    0.707    24.034    335.733    177.978    545.419     8.102     0.275     3.742       68.314       8.93 
800     10.907     9067.     -388.211    -22.177    0.706    24.034    349.693    177.722    544.632     7.942     0.283     3.977        44.38      8.383 
900     10.916    9059.66    -465.969    -22.178    0.705    24.034    365.783    177.482    543.897     7.776     0.291     4.188       35.393      7.818 
1000    10.924    9052.84    -546.949    -22.178    0.705    24.034    383.775    177.259    543.215     7.61       0.3      4.373       42.126      7.257 

----> Co-0.1_Nb-0.05_Mo-0.05_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.802    9166.45     12.969     -22.247    0.715    24.034    307.473    193.305    571.166     9.442     0.24      1.751       705.679     6.972 
200     10.812    9158.52    -19.486     -22.247    0.715    24.034    306.446    193.027    570.343     9.439     0.24      3.309       250.828     9.585 
300     10.822    9149.48    -63.895     -22.247    0.714    24.034    307.369    192.709    569.405     9.404     0.241     3.571       267.045     10.029
400     10.833    9140.31    -116.942    -22.248    0.713    24.034    310.642    192.388    568.454     9.333     0.243     3.459       179.836     9.983 
500     10.844    9131.29    -176.689    -22.248    0.713    24.034    316.356    192.071    567.52      9.23      0.248     3.636       104.163     9.729 
600     10.854    9122.58    -241.912    -22.248    0.712    24.034    324.495    191.766    566.617     9.098     0.253     3.865       73.289      9.352 
700     10.864    9114.25    -311.778    -22.249    0.711    24.034    334.975    191.474    565.756     8.944     0.26      4.064       11.917      8.896 
800     10.874    9106.38    -385.685    -22.249    0.711    24.034    347.657    191.199    564.941     8.776     0.268     4.232       27.566      8.392 
900     10.882    9098.97    -463.174    -22.25     0.71     24.034    362.368    190.94     564.176     8.599     0.276     4.415       53.742      7.864 
1000    10.891    9092.06    -543.887    -22.25     0.709    24.034    378.914    190.698    563.462     8.42      0.285     4.503       19.268      7.333 

----> Co-0.1_Nb-0.025_Mo-0.075_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.771    9204.94     13.834     -22.318    0.72     24.034    312.01     204.67     588.605    10.137     0.231     0.777       913.481     6.755
200     10.78     9197.17     -18.15     -22.318    0.719    24.034    311.614    204.382    587.777    10.124     0.231     2.826       448.227     9.389
300     10.79     9188.26     -62.04     -22.318    0.718    24.034    312.951    204.052    586.828     10.08     0.232     3.899       280.985     9.871
400     10.801    9179.18    -114.561    -22.319    0.718    24.034    316.335    203.716    585.861    10.003     0.235     4.249       199.883     9.863
500     10.812    9170.21    -173.781    -22.319    0.717    24.034    321.852    203.385    584.908     9.895     0.239     4.388       153.848     9.65 
600     10.822    9161.51    -238.479    -22.32     0.716    24.034    329.509    203.063    583.983     9.761     0.244     4.405       125.232     9.318
700     10.832    9153.16    -307.821    -22.32     0.716    24.034    339.257    202.755    583.097     9.605     0.251     4.289       105.566     8.908
800     10.841    9145.22    -381.206    -22.321    0.715    24.034    351.004    202.462    582.254     9.435     0.258     4.336       83.679      8.449
900     10.85     9137.72    -458.175    -22.321    0.714    24.034    364.622    202.185    581.458     9.254     0.266     4.362       53.744      7.961
1000    10.859    9130.67    -538.372    -22.322    0.714    24.034    379.966    201.925    580.711     9.07      0.274     4.446       67.996      7.465

----> Co-0.1_Mo-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.74     9243.1      15.083     -22.387    0.724    24.034    313.436    212.936    602.016    10.681     0.223      1.14       1707.45     6.573 
200     10.749    9235.37    -16.009     -22.388    0.724    24.034    311.431    212.64     601.179    10.695     0.222     2.638       944.617     9.422 
300     10.76     9226.27    -58.945     -22.388    0.723    24.034    310.601    212.29     600.191    10.686     0.222     3.926       634.68      10.17 
400     10.771    9216.76    -110.492    -22.388    0.722    24.034    311.516    211.926    599.16     10.644     0.223     4.479       475.487     10.414
500     10.782    9207.14    -168.729    -22.389    0.721    24.034    314.447    211.557    598.119    10.568     0.225     4.593       380.925     10.429
600     10.793    9197.6     -232.44     -22.389    0.721    24.034    319.565    211.192    597.086    10.457     0.229     4.472       319.711     10.289
700     10.804    9188.25    -300.793    -22.39     0.72     24.034    326.962    210.834    596.075    10.314     0.235     4.394       277.912     10.027
800     10.815    9179.2     -373.186    -22.39     0.719    24.034    336.663    210.488    595.097    10.144     0.241     4.258       248.399     9.669 
900     10.825    9170.52    -449.162    -22.391    0.719    24.034    348.627    210.157    594.159     9.953     0.249      4.24       227.138     9.238 
1000    10.835    9162.27    -528.366    -22.392    0.718    24.034    362.763    209.842    593.268     9.75      0.258     4.171       211.666     8.757 

----> Ni-0.1_Nb-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.917    9050.55     10.468     -21.996    0.708    24.034    302.959    146.565    503.149     6.55      0.292     1.729       127.624     6.148
200     10.925    9043.94    -22.698     -21.996    0.707    24.034    302.852    146.387    502.536     6.54      0.292     2.044       125.784     7.852
300     10.934    9036.79    -67.847     -21.996    0.706    24.034    304.486    146.194    501.875     6.514     0.293     2.315       79.437      7.871
400     10.942    9029.8     -121.575    -21.996    0.706    24.034    307.776    146.005    501.227     6.473     0.295     2.259       48.822      7.599
500     10.95     9023.09    -181.937    -21.996    0.705    24.034    312.581    145.825    500.607     6.419     0.298     2.204       24.982      7.246
600     10.958    9016.73    -247.716    -21.996    0.704    24.034    318.766    145.653    500.019     6.357     0.302     2.279        13.91      6.868
700     10.965    9010.71    -318.085    -21.996    0.703    24.034    326.196    145.491    499.462     6.287     0.306     2.296       19.647      6.484
800     10.972    9005.04    -392.445    -21.996    0.703    24.034    334.741    145.339    498.939     6.212     0.31      2.312       14.803      6.105
900     10.979    8999.71    -470.343    -21.996    0.702    24.034    344.278    145.195    498.447     6.135     0.315     2.295        7.927      5.736
1000    10.985    8994.71    -551.424    -21.996    0.701    24.034    354.687    145.061    497.985     6.057     0.32      2.338        4.187      5.382

----> Ni-0.1_Nb-0.075_Mo-0.025_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.885    9089.27     10.588     -22.069    0.698    24.034    305.586    153.023    514.056     6.909     0.285      1.46       217.001     6.36 
200     10.893    9082.38    -22.837     -22.069    0.698    24.034    305.32     152.83     513.407      6.9      0.286     1.449       107.654     8.155
300     10.902    9074.92    -68.246     -22.069    0.697    24.034    306.731    152.62     512.704     6.874     0.287     2.122        80.6       8.202
400     10.911    9067.58    -122.249    -22.069    0.697    24.034    309.815    152.415    512.013     6.831     0.289     2.599       47.686      7.942
500     10.919    9060.54    -182.902    -22.069    0.696    24.034    314.468    152.218    511.35      6.776     0.292     2.886       29.003      7.597
600     10.927    9053.82    -248.985    -22.069    0.696    24.034    320.571    152.03     510.719     6.709     0.295     3.074       26.801      7.222
700     10.935    9047.46    -319.67     -22.069    0.695    24.034     328.      151.852    510.121     6.634     0.299     3.154        18.02      6.836
800     10.942    9041.45    -394.356    -22.069    0.695    24.034    336.63     151.684    509.557     6.553     0.304     3.196       12.038      6.451
900     10.949    9035.79    -472.589    -22.069    0.695    24.034    346.339    151.525    509.025     6.469     0.309     3.323        6.527      6.074
1000    10.955    9030.47    -554.014    -22.069    0.694    24.034    357.006    151.377    508.526     6.383     0.314      3.36        9.093      5.711

----> Ni-0.1_Nb-0.05_Mo-0.05_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.853    9127.43     11.155     -22.14     0.703    24.034    305.492    164.084    531.145     7.585     0.272     0.392       200.771     6.764
200     10.862    9120.03    -22.147     -22.14     0.702    24.034    304.281    163.862    530.428     7.585     0.272      0.68       94.668      8.768
300     10.871    9111.93    -67.441     -22.14     0.702    24.034    304.887    163.62     529.643     7.563     0.272     1.032       75.199       8.9 
400     10.881    9103.91    -121.351    -22.141    0.701    24.034    307.491    163.38     528.867     7.519     0.274     1.269       64.031      8.68 
500     10.89     9096.16    -181.93     -22.141    0.701    24.034    312.035    163.148    528.116     7.455     0.277     1.438       54.281      8.343
600     10.899    9088.75    -247.957    -22.141     0.7     24.034    318.408    162.927     527.4      7.374     0.281     1.589        42.83      7.952
700     10.908    9081.71    -318.601    -22.141     0.7     24.034    326.474    162.717    526.719     7.281     0.286     1.721        23.42      7.534
800     10.915    9075.07    -393.259    -22.141    0.699    24.034    336.086    162.518    526.077     7.179     0.292     1.807       16.286      7.104
900     10.923    9068.82    -471.476    -22.141    0.699    24.034    347.087    162.332    525.473     7.071     0.298     1.899       19.567      6.675
1000    10.93     9062.96    -552.895    -22.141    0.698    24.034    359.322    162.157    524.908     6.961     0.304     1.926       12.919      6.255

----> Ni-0.1_Nb-0.025_Mo-0.075_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.822    9165.29     12.001     -22.212    0.707    24.034    308.969    176.986    550.686     8.355     0.26      0.605       341.919     7.432 
200     10.832    9157.05    -20.914     -22.212    0.707    24.034    308.477    176.721    549.862     8.344     0.259     1.003       90.822      9.794 
300     10.842    9147.92    -65.825     -22.212    0.706    24.034    310.225    176.427    548.947     8.303     0.261     1.489       111.881     10.046
400     10.853    9138.8     -119.372    -22.212    0.705    24.034    314.552    176.134    548.036     8.231     0.264     2.004       86.287      9.847 
500     10.864    9129.97    -179.608    -22.212    0.705    24.034    321.476    175.851    547.154     8.131     0.269     2.412       25.718       9.47 
600     10.874    9121.54    -245.309    -22.212    0.704    24.034    330.906    175.58     546.312     8.008     0.275     2.759       36.635      8.997 
700     10.883    9113.57    -315.642    -22.213    0.704    24.034    342.689    175.325    545.517     7.869     0.281     2.997       24.549       8.47 
800     10.892    9106.11    -390.002    -22.213    0.703    24.034    356.63     175.085    544.772     7.721     0.289     3.132       35.201      7.919 
900      10.9     9099.15    -467.933    -22.213    0.703    24.034    372.511    174.862    544.079     7.568     0.297     3.248       15.781      7.367 
1000    10.908    9092.7     -549.077    -22.213    0.702    24.034    390.108    174.656    543.436     7.416     0.305     3.336       26.496      6.826 

----> Ni-0.1_Mo-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.79     9204.02     13.195     -22.283    0.712    24.034    312.216    188.973    568.922     9.086     0.248     0.258       585.801     7.294 
200      10.8     9195.74    -18.854     -22.283    0.711    24.034    311.489    188.69     568.07      9.078     0.248      0.81       295.616     9.934 
300     10.811    9186.35    -62.865     -22.283    0.71     24.034    312.961    188.368    567.103     9.036     0.249     1.417       202.907     10.372
400     10.822    9176.83    -115.509    -22.283    0.709    24.034    317.081    188.043    566.124     8.958     0.252     2.037       171.209     10.303
500     10.833    9167.5     -174.844    -22.284    0.709    24.034    323.962    187.725    565.165     8.847     0.257     2.568       78.865      10.013
600     10.844    9158.51    -239.648    -22.284    0.708    24.034    333.587    187.418    564.242     8.707     0.263     2.949       79.386      9.592 
700     10.854    9149.96    -309.086    -22.284    0.708    24.034    345.848    187.126    563.364     8.547     0.271     3.241       83.902      9.085 
800     10.863    9141.9     -382.554    -22.284    0.707    24.034    360.576    186.852    562.537     8.374     0.279     3.421        57.87      8.531 
900     10.872    9134.36    -459.596    -22.285    0.706    24.034    377.557    186.595    561.765     8.194     0.288     3.601       39.132      7.958 
1000    10.881    9127.36    -539.852    -22.285    0.706    24.034    396.559    186.357    561.047     8.015     0.297     3.746       53.367      7.387 
